	control_1	control_2	control_3	control_4	opg_1	opg_2	opg_3	opg_4	gtdup_1	gtdup_2	gtdup_3
ENSG00000251306	0	0	0	0	1	3	0	0	0	0	1
ENSG00000202601	0	0	0	0	0	0	0	0	0	0	0
ENSG00000248935	0	0	2	0	1	3	0	1	0	1	3
ENSG00000202017	0	0	0	0	0	1	4	0	0	0	2
ENSG00000213896	4	2	2	2	1	3	5	1	7	4	4
ENSG00000214244	14	11	12	6	7	14	12	15	25	13	20
ENSG00000273701	0	0	0	0	0	0	0	0	0	0	0
ENSG00000152931	52	17	20	7	38	32	40	22	58	52	51
ENSG00000275634	0	0	0	0	0	0	0	0	0	0	0
ENSG00000276233	0	0	0	0	0	0	0	0	0	0	0
ENSG00000035499	11	7	13	5	3	16	5	19	11	7	12
ENSG00000251303	0	0	0	0	2	1	2	0	1	1	3
ENSG00000287434	2	2	0	2	1	5	2	1	2	1	5
ENSG00000250148	0	0	0	0	0	0	0	0	0	0	0
ENSG00000164181	0	0	1	3	0	1	0	0	1	0	0
ENSG00000049167	22	23	42	17	24	32	34	31	41	53	62
ENSG00000215032	1	0	0	0	2	0	1	0	0	0	0
ENSG00000233847	4	1	4	2	1	1	0	1	2	1	8
ENSG00000164182	4	3	5	5	7	5	11	6	6	3	5
ENSG00000279985	1	0	0	1	3	1	2	2	6	0	2
ENSG00000276945	0	0	0	0	0	1	0	1	0	0	2
ENSG00000188725	21	8	39	13	17	17	36	24	14	21	47
ENSG00000251279	6	8	14	4	9	13	8	12	13	14	22
ENSG00000249279	0	0	0	0	0	0	0	0	0	0	0
ENSG00000130449	290	226	309	223	328	386	317	352	339	303	395
ENSG00000251682	11	6	26	20	45	52	23	23	40	46	57
ENSG00000250461	85	77	77	50	55	83	63	72	116	93	67
ENSG00000213891	3	7	48	17	48	44	41	20	66	72	75
ENSG00000178722	3	0	0	1	0	4	1	0	1	0	1
ENSG00000248529	0	0	1	0	0	2	0	0	0	0	2
ENSG00000212215	0	0	0	0	0	0	0	0	0	0	0
ENSG00000251575	0	1	0	0	0	0	0	0	0	0	0
ENSG00000249878	0	0	0	0	0	0	0	0	0	0	0
ENSG00000248199	0	0	0	0	0	0	0	0	0	0	0
ENSG00000251983	0	0	0	0	0	0	0	0	0	0	0
ENSG00000068796	46	30	60	36	72	65	48	51	81	86	95
ENSG00000288643	0	0	0	0	0	0	0	0	0	0	0
ENSG00000086189	51	39	67	49	56	64	55	48	79	61	74
ENSG00000086200	53	37	40	25	47	44	49	40	74	56	52
ENSG00000199279	0	0	0	0	0	0	1	0	0	0	0
ENSG00000268942	0	0	0	0	0	0	0	0	0	0	0
ENSG00000241991	0	0	1	0	0	0	0	0	2	2	0
ENSG00000240436	0	0	0	0	1	2	0	0	3	0	0
ENSG00000186105	0	0	0	0	0	0	1	1	0	0	2
ENSG00000217416	0	0	0	0	0	0	1	0	0	0	0
ENSG00000249579	0	0	0	0	0	0	0	0	0	0	0
ENSG00000248185	0	0	0	0	0	0	0	0	0	0	0
ENSG00000287179	0	0	0	0	0	0	0	0	0	0	0
ENSG00000178394	0	0	0	0	0	0	0	0	0	0	0
ENSG00000248285	0	0	0	0	0	0	0	0	0	0	0
ENSG00000164197	3	1	4	2	4	3	3	2	3	4	11
ENSG00000236068	0	0	0	0	0	0	0	0	0	0	0
ENSG00000186479	0	0	0	0	0	0	0	0	0	0	0
ENSG00000242547	0	0	0	0	0	0	0	0	0	0	0
ENSG00000201869	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224296	0	0	0	0	0	0	0	0	0	0	0
ENSG00000145642	0	0	0	0	0	0	0	0	0	0	1
ENSG00000153006	20	16	37	26	51	37	23	21	43	29	53
ENSG00000153015	48	46	39	59	51	61	41	50	69	45	67
ENSG00000272370	0	0	0	0	0	0	0	0	0	0	0
ENSG00000272354	0	0	0	0	0	0	0	0	0	0	0
ENSG00000207439	0	0	0	0	0	0	0	0	0	0	0
ENSG00000049192	8	4	5	2	11	11	3	9	9	9	5
ENSG00000248288	0	0	0	0	0	0	0	0	0	0	0
ENSG00000250732	0	0	0	0	0	0	0	0	0	0	0
ENSG00000205644	0	0	0	0	3	1	0	0	0	1	0
ENSG00000250081	1	0	2	2	0	3	4	4	4	1	0
ENSG00000123219	8	10	11	7	12	10	19	19	21	25	24
ENSG00000113593	67	39	59	47	61	68	52	56	99	67	108
ENSG00000113595	40	31	24	16	29	30	32	26	38	33	35
ENSG00000207352	0	0	0	0	0	0	0	0	0	0	0
ENSG00000113597	25	13	21	15	32	28	21	18	50	44	43
ENSG00000253251	0	2	3	1	5	4	5	1	5	1	11
ENSG00000197860	70	32	68	46	84	68	32	29	113	80	133
ENSG00000123213	69	47	103	64	85	65	65	44	140	102	153
ENSG00000251648	1	1	3	2	1	1	1	1	2	1	2
ENSG00000269961	0	0	1	0	2	0	0	0	1	0	1
ENSG00000112851	442	272	316	245	336	319	294	328	558	439	564
ENSG00000252904	0	0	4	0	5	1	0	0	2	1	2
ENSG00000286314	7	7	11	8	13	15	22	6	27	20	36
ENSG00000285999	3	2	6	4	8	3	4	4	8	4	15
ENSG00000153914	318	227	347	200	321	316	298	286	484	483	549
ENSG00000253744	24	25	25	18	23	26	15	29	34	31	40
ENSG00000248846	1	0	1	0	2	0	1	2	3	2	1
ENSG00000251391	0	1	0	0	0	0	0	0	4	0	0
ENSG00000286062	1	0	0	0	0	0	0	0	0	0	0
ENSG00000250313	0	0	0	0	0	0	0	0	0	0	0
ENSG00000234838	0	0	0	0	0	0	0	0	0	0	0
ENSG00000069020	7	12	5	4	6	4	6	3	6	7	3
ENSG00000248803	0	0	0	0	0	0	0	0	0	0	0
ENSG00000249057	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229666	0	0	0	0	0	0	0	0	0	0	0
ENSG00000134061	121	89	221	83	145	108	95	64	155	115	245
ENSG00000251206	0	0	0	0	0	0	0	0	0	0	0
ENSG00000286647	0	0	1	0	0	0	0	0	0	0	0
ENSG00000249364	1	3	2	0	7	2	1	0	6	2	8
ENSG00000250978	0	0	0	0	0	0	0	0	0	0	0
ENSG00000239870	0	0	0	0	0	0	0	0	0	0	1
ENSG00000249736	0	0	0	0	0	0	1	0	0	0	0
ENSG00000249238	0	0	1	0	0	0	0	0	1	0	0
ENSG00000250669	3	1	1	0	0	0	1	0	0	0	0
ENSG00000249721	1	0	0	0	1	1	0	0	0	0	0
ENSG00000250421	4	1	4	3	1	4	0	0	1	3	5
ENSG00000249894	0	0	0	0	0	0	0	0	0	1	0
ENSG00000273860	0	0	0	0	0	0	0	0	1	0	0
ENSG00000253801	0	0	0	0	0	0	0	0	0	0	0
ENSG00000252108	0	0	0	0	0	0	0	0	0	0	0
ENSG00000213864	0	0	0	0	0	0	0	0	0	0	0
ENSG00000253787	0	0	0	0	0	0	0	0	0	0	0
ENSG00000145675	249	193	318	222	296	304	242	226	347	345	376
ENSG00000251044	0	0	0	0	0	0	0	0	0	0	0
ENSG00000248884	0	1	0	0	0	0	0	0	0	0	0
ENSG00000248359	0	0	0	0	0	0	0	0	0	0	0
ENSG00000249588	0	0	0	0	0	0	0	0	0	0	0
ENSG00000249335	0	0	0	0	0	0	0	0	1	0	0
ENSG00000250289	0	0	0	0	0	0	0	0	0	0	0
ENSG00000212249	0	0	0	0	0	0	0	0	0	0	0
ENSG00000250066	0	0	0	0	0	0	0	0	0	0	0
ENSG00000276309	0	0	0	0	0	0	0	0	0	0	0
ENSG00000249352	0	0	0	0	0	0	0	0	0	0	0
ENSG00000250237	0	0	0	0	0	0	0	0	0	0	0
ENSG00000249183	0	0	0	0	0	0	0	0	0	0	0
ENSG00000145740	37	23	45	41	46	48	35	45	63	59	76
ENSG00000248664	14	4	16	11	9	20	18	7	11	17	12
ENSG00000220986	0	0	0	0	0	0	0	0	0	0	0
ENSG00000280894	0	0	0	0	0	0	0	0	0	0	0
ENSG00000134057	26	14	22	12	10	20	13	16	17	13	56
ENSG00000280187	8	2	0	5	0	0	4	1	0	0	2
ENSG00000153044	1	4	6	3	6	7	2	7	8	5	12
ENSG00000134056	4	6	5	6	8	7	10	4	6	3	7
ENSG00000134058	7	6	15	12	10	20	8	11	11	13	22
ENSG00000183323	45	23	45	38	30	22	38	24	98	101	85
ENSG00000213830	5	3	4	5	4	0	2	1	5	4	4
ENSG00000215006	0	2	0	1	0	0	0	0	0	0	0
ENSG00000271045	0	0	0	0	0	0	0	1	0	0	0
ENSG00000085231	5	0	0	1	5	4	3	1	4	4	11
ENSG00000273841	19	3	17	9	25	19	18	21	22	27	39
ENSG00000152942	41	28	43	26	29	40	44	33	48	43	47
ENSG00000152939	3	7	6	2	2	4	5	2	8	6	8
ENSG00000244717	0	0	0	0	0	0	0	0	0	0	0
ENSG00000249295	0	0	0	0	0	0	0	0	0	0	0
ENSG00000266477	0	0	0	0	0	0	0	0	0	0	0
ENSG00000197822	0	0	2	1	0	1	0	0	0	0	2
ENSG00000212260	0	0	0	0	0	0	0	0	0	0	0
ENSG00000183474	6	11	5	10	14	14	9	6	14	15	12
ENSG00000248477	4	2	0	0	4	6	2	2	2	5	2
ENSG00000250138	709	588	503	597	443	506	467	566	576	399	367
ENSG00000253203	0	0	0	0	0	2	0	0	0	1	1
ENSG00000248769	0	0	0	0	0	0	0	0	0	0	0
ENSG00000198237	8	5	5	9	10	5	13	11	12	3	6
ENSG00000251158	3	1	3	1	1	6	4	3	3	0	3
ENSG00000249230	0	0	0	0	0	0	0	0	0	0	0
ENSG00000205572	0	0	0	0	0	0	0	0	0	0	2
ENSG00000205571	5	2	15	6	14	11	8	8	15	22	16
ENSG00000285151	0	0	0	0	0	0	0	0	0	0	0
ENSG00000179978	40	27	30	26	44	36	50	26	43	42	33
ENSG00000253492	0	0	0	0	0	0	0	0	0	0	0
ENSG00000254701	7	0	0	9	1	3	4	3	2	5	4
ENSG00000253816	40	41	15	15	17	13	17	40	25	24	23
ENSG00000226259	0	0	0	0	0	0	0	1	0	3	4
ENSG00000269983	0	0	0	0	0	0	0	0	0	0	0
ENSG00000250687	6	3	4	0	6	0	5	8	2	2	0
ENSG00000253333	0	0	0	0	0	0	0	0	0	0	0
ENSG00000196302	0	0	0	2	2	0	0	0	0	1	0
ENSG00000253366	1	0	1	0	1	1	0	0	1	3	0
ENSG00000288349	14	9	11	6	4	23	21	12	13	11	18
ENSG00000254335	0	0	0	0	0	0	0	0	0	0	0
ENSG00000172058	0	0	0	0	0	0	0	0	0	0	0
ENSG00000172062	0	1	2	0	1	0	0	1	1	3	6
ENSG00000285204	0	0	0	0	0	0	0	0	0	0	0
ENSG00000249437	319	217	223	170	198	278	229	244	300	217	279
ENSG00000145736	5	1	2	6	8	7	1	3	2	6	5
ENSG00000230847	0	0	0	0	0	0	0	0	0	0	0
ENSG00000251634	10	2	5	4	9	4	5	10	7	9	15
ENSG00000253900	0	0	0	0	0	0	0	0	0	0	0
ENSG00000215630	23	17	10	13	15	16	26	21	21	15	16
ENSG00000235558	0	0	0	1	0	0	0	0	0	0	0
ENSG00000250387	0	0	0	0	0	0	0	0	0	0	0
ENSG00000253985	0	0	0	0	0	0	0	0	0	0	0
ENSG00000169040	0	0	0	0	0	0	0	0	0	0	0
ENSG00000249981	0	0	0	0	0	0	0	0	0	0	0
ENSG00000145734	617	560	544	461	409	460	444	447	574	606	459
ENSG00000253536	0	0	1	0	1	0	0	0	2	4	1
ENSG00000247911	0	1	1	3	3	1	4	0	2	3	2
ENSG00000131844	98	57	133	92	97	101	109	105	172	150	191
ENSG00000164326	0	0	0	0	0	0	0	0	0	0	0
ENSG00000278824	0	0	0	0	0	0	0	0	0	0	0
ENSG00000285804	0	0	0	0	0	0	0	0	0	0	0
ENSG00000131711	0	5	0	2	4	4	2	3	7	7	5
ENSG00000264099	0	0	0	0	0	0	0	0	0	0	0
ENSG00000113048	30	43	83	60	50	77	48	47	78	96	86
ENSG00000244748	0	0	0	0	1	1	0	0	1	2	0
ENSG00000049883	31	25	19	22	29	25	17	27	31	23	29
ENSG00000244061	0	0	0	0	0	0	0	0	0	0	0
ENSG00000251108	0	0	0	0	0	0	1	0	1	0	0
ENSG00000261269	0	0	0	0	0	0	0	0	0	0	0
ENSG00000178175	135	135	140	148	156	118	198	154	214	244	217
ENSG00000248371	0	0	0	0	0	0	0	0	0	0	0
ENSG00000251613	0	0	0	0	0	0	0	0	1	0	0
ENSG00000226544	0	0	0	0	0	0	0	0	0	0	0
ENSG00000223497	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206770	0	0	0	0	0	0	0	0	0	0	0
ENSG00000249085	1	1	1	3	1	0	0	2	1	1	2
ENSG00000083312	373	206	401	253	330	315	319	273	673	523	663
ENSG00000263593	0	0	1	0	1	1	1	0	0	1	0
ENSG00000242602	2	1	5	2	3	7	2	3	15	11	19
ENSG00000271926	0	0	0	0	0	0	0	0	0	0	0
ENSG00000272081	6	1	3	3	4	0	3	6	1	2	2
ENSG00000157107	142	54	66	43	82	88	87	82	88	73	94
ENSG00000251467	7	2	7	3	8	2	6	6	10	7	8
ENSG00000248930	1	1	0	1	0	2	0	3	3	0	1
ENSG00000157111	0	0	0	0	0	0	0	0	0	0	0
ENSG00000251599	0	0	0	0	0	0	0	0	0	0	0
ENSG00000250747	0	0	0	0	0	0	0	0	0	0	0
ENSG00000164325	0	0	0	0	0	0	0	0	0	0	0
ENSG00000287090	0	0	0	0	0	0	0	0	0	0	0
ENSG00000249743	0	0	0	0	0	0	0	0	0	0	0
ENSG00000251543	0	0	0	0	0	0	0	0	0	0	0
ENSG00000249149	0	0	0	0	0	0	0	0	0	0	0
ENSG00000251493	0	0	0	2	0	0	0	0	0	0	1
ENSG00000247993	0	0	0	0	0	0	0	0	0	0	0
ENSG00000251604	0	0	0	0	0	0	0	0	0	0	0
ENSG00000251324	0	0	0	0	0	0	0	0	0	0	0
ENSG00000272525	1	0	1	0	0	1	0	2	1	0	0
ENSG00000145741	44	38	134	49	66	67	62	56	58	94	183
ENSG00000255883	0	0	3	1	1	0	0	1	2	0	1
ENSG00000164331	63	24	41	37	32	40	24	32	48	37	33
ENSG00000164338	8	11	28	14	24	20	20	13	28	18	40
ENSG00000214944	0	0	0	0	0	0	0	0	0	0	0
ENSG00000249293	0	0	0	0	0	0	0	0	0	0	0
ENSG00000184084	0	0	0	0	0	0	0	0	0	0	0
ENSG00000238913	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259968	0	0	0	0	0	0	0	0	0	0	0
ENSG00000248474	0	0	0	0	0	0	0	0	0	0	0
ENSG00000248673	0	0	0	0	0	0	0	0	0	0	0
ENSG00000248942	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244326	0	0	0	0	0	0	0	0	0	0	0
ENSG00000249343	0	0	0	0	0	0	0	0	0	0	0
ENSG00000250446	0	0	0	0	0	0	0	0	0	0	0
ENSG00000171617	6	5	4	0	7	5	5	6	13	11	15
ENSG00000049860	228	145	323	201	269	263	225	183	389	440	429
ENSG00000164347	35	37	53	45	57	58	52	53	94	58	107
ENSG00000207336	0	0	0	0	2	0	0	0	0	1	1
ENSG00000164346	44	34	73	27	46	40	51	27	53	51	88
ENSG00000198780	0	0	0	0	6	0	1	0	1	1	6
ENSG00000199645	0	0	0	0	0	0	0	0	0	0	0
ENSG00000250071	0	0	0	0	0	0	0	0	0	0	0
ENSG00000271714	0	0	0	0	0	0	0	0	0	0	0
ENSG00000212363	0	0	0	0	0	0	0	0	0	0	0
ENSG00000287701	0	0	0	0	0	0	0	0	0	0	0
ENSG00000249856	0	0	0	0	0	0	0	0	0	0	0
ENSG00000196390	0	0	0	0	0	0	0	0	0	0	0
ENSG00000239517	0	0	0	0	0	0	0	0	0	0	0
ENSG00000182383	0	0	0	0	0	0	0	0	0	0	0
ENSG00000249157	0	0	0	0	0	0	0	0	0	0	0
ENSG00000176928	0	0	0	0	0	0	0	0	0	0	0
ENSG00000145700	0	0	0	2	1	3	0	0	1	0	1
ENSG00000251663	0	0	0	0	0	0	0	0	0	0	0
ENSG00000247372	0	0	0	0	0	0	0	1	0	0	0
ENSG00000113161	71	110	149	94	120	159	125	156	206	233	251
ENSG00000113163	376	240	317	220	234	235	255	245	413	313	353
ENSG00000271815	0	0	3	0	5	4	1	0	8	5	3
ENSG00000242198	0	0	4	2	6	4	1	4	8	7	8
ENSG00000122008	76	42	111	34	99	89	84	84	130	111	155
ENSG00000251724	0	0	0	0	0	0	1	0	0	0	0
ENSG00000248881	4	2	2	0	2	1	1	1	4	7	4
ENSG00000272040	0	3	2	0	0	4	6	4	3	1	4
ENSG00000189045	4	3	10	7	5	6	3	7	7	5	3
ENSG00000152359	37	32	45	28	36	42	42	28	56	75	75
ENSG00000207333	0	0	0	0	0	0	0	0	1	0	0
ENSG00000251078	0	0	0	0	0	0	0	0	0	0	0
ENSG00000251419	0	0	0	0	0	0	0	0	0	0	0
ENSG00000249301	0	0	0	0	0	0	0	0	0	0	0
ENSG00000248684	0	0	0	0	1	0	0	0	0	0	0
ENSG00000228367	0	0	0	0	0	0	0	0	0	0	0
ENSG00000249777	0	0	0	0	0	0	0	0	0	0	0
ENSG00000251342	0	0	0	0	0	0	0	0	0	0	0
ENSG00000248127	0	0	0	0	0	0	0	0	0	0	0
ENSG00000122012	0	0	0	0	0	0	0	0	1	0	0
ENSG00000252833	0	0	0	0	0	0	0	0	0	0	0
ENSG00000251668	0	0	0	0	0	0	0	0	0	0	0
ENSG00000254893	0	0	0	0	0	1	0	0	0	0	1
ENSG00000249014	0	0	0	0	0	0	0	0	0	0	0
ENSG00000251107	0	0	0	0	0	0	0	0	0	0	0
ENSG00000250348	1	0	0	0	0	0	0	0	1	0	0
ENSG00000251235	0	0	0	0	0	0	0	0	0	0	0
ENSG00000145703	363	190	252	173	186	195	185	190	305	240	354
ENSG00000250574	1	1	0	1	2	2	0	0	5	3	12
ENSG00000249713	0	0	3	0	2	0	3	0	5	5	9
ENSG00000164220	9	5	10	6	4	12	9	8	25	15	18
ENSG00000225407	1	0	2	4	1	1	0	1	0	2	3
ENSG00000277188	0	0	0	0	0	0	0	0	0	0	0
ENSG00000278237	0	0	0	0	0	0	0	0	0	0	0
ENSG00000181104	0	2	0	2	1	3	1	0	0	4	4
ENSG00000164251	0	0	0	0	0	0	0	0	0	0	5
ENSG00000264391	0	0	0	0	0	0	0	0	0	0	0
ENSG00000171643	20	27	56	21	52	48	41	46	68	49	57
ENSG00000252684	0	0	0	0	2	0	1	0	1	0	2
ENSG00000145708	44	22	23	28	25	38	32	31	35	24	18
ENSG00000164252	81	75	71	81	63	91	72	68	84	138	79
ENSG00000285000	0	0	0	0	1	0	0	0	0	0	0
ENSG00000132846	16	11	33	29	21	31	27	16	33	32	45
ENSG00000250615	5	1	5	0	9	2	4	2	3	5	10
ENSG00000238961	0	0	0	1	2	1	0	1	2	2	3
ENSG00000250802	12	5	14	5	11	11	14	14	30	15	23
ENSG00000284762	0	0	0	0	0	0	0	0	0	0	0
ENSG00000251566	0	0	0	0	0	0	0	0	0	0	0
ENSG00000113231	0	0	0	0	0	2	0	0	3	3	3
ENSG00000251400	0	0	0	0	0	1	0	0	1	1	0
ENSG00000164253	40	27	52	38	34	46	43	32	64	69	68
ENSG00000244019	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244363	0	0	0	0	0	0	0	0	1	0	1
ENSG00000171540	0	0	0	0	0	0	0	0	0	0	0
ENSG00000171530	38	34	87	49	54	53	48	33	56	77	135
ENSG00000213763	1	1	3	0	2	2	3	2	2	6	4
ENSG00000253572	0	0	0	0	0	0	0	0	0	0	0
ENSG00000287162	0	0	0	0	0	0	0	0	0	0	0
ENSG00000132842	421	355	418	295	334	359	341	372	487	468	488
ENSG00000253558	4	3	11	6	8	15	8	12	14	6	12
ENSG00000249372	0	0	2	0	2	2	0	2	3	1	3
ENSG00000251605	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200331	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206714	0	0	0	0	0	0	0	0	0	0	0
ENSG00000245556	9	7	28	14	17	13	9	12	21	25	19
ENSG00000085365	22	15	16	10	24	24	22	17	42	28	48
ENSG00000145685	245	255	316	276	253	277	208	219	211	220	218
ENSG00000248909	3	3	4	3	8	8	0	1	1	3	6
ENSG00000254170	0	0	0	0	0	0	1	0	1	0	0
ENSG00000254310	0	0	0	0	2	0	0	0	0	0	0
ENSG00000113273	161	96	177	131	142	127	126	138	204	192	242
ENSG00000132837	1	0	4	0	2	1	2	0	0	0	1
ENSG00000214890	0	0	0	0	0	0	0	0	0	0	0
ENSG00000132840	1	0	0	0	0	0	0	0	0	0	0
ENSG00000145692	0	0	0	0	0	0	0	0	1	0	0
ENSG00000201955	0	0	0	0	0	0	0	0	0	0	0
ENSG00000249829	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206592	0	0	0	0	1	0	0	0	0	0	0
ENSG00000250330	0	0	0	0	2	1	0	0	0	0	0
ENSG00000152409	138	99	107	86	73	92	81	90	132	100	103
ENSG00000213757	0	0	2	0	2	1	0	0	1	5	1
ENSG00000152413	39	47	61	56	51	35	36	33	69	74	69
ENSG00000213755	0	0	3	2	1	4	3	1	0	0	2
ENSG00000243160	0	0	0	0	0	0	0	0	0	0	0
ENSG00000207391	0	0	0	0	0	0	0	0	0	0	0
ENSG00000277818	0	0	0	0	0	0	0	0	0	0	0
ENSG00000164329	167	118	273	124	280	256	195	193	344	357	424
ENSG00000164309	21	17	17	9	17	16	11	7	2	4	5
ENSG00000250258	0	0	0	0	0	0	1	0	0	0	0
ENSG00000286818	0	0	0	0	0	0	0	0	0	0	0
ENSG00000238254	0	0	0	0	0	0	0	0	0	0	0
ENSG00000250888	0	0	0	0	0	0	0	0	0	0	0
ENSG00000177034	28	18	41	20	37	29	31	16	37	58	62
ENSG00000113296	6	1	4	4	2	6	5	3	2	7	5
ENSG00000251050	0	0	0	0	0	0	1	0	0	0	3
ENSG00000249778	0	0	0	0	0	0	0	0	0	0	0
ENSG00000249825	4	3	3	5	2	2	1	4	3	3	5
ENSG00000164300	109	88	168	108	108	133	128	102	221	279	282
ENSG00000251675	13	8	17	6	12	13	17	11	26	26	25
ENSG00000249438	0	0	0	0	0	0	0	0	0	0	0
ENSG00000184188	0	0	0	0	0	0	0	0	0	0	0
ENSG00000251828	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244076	0	0	0	0	0	0	0	0	0	0	0
ENSG00000164299	0	0	0	0	0	0	0	0	0	0	0
ENSG00000227087	0	0	1	0	0	0	0	0	0	0	0
ENSG00000248569	1	0	0	1	0	0	0	0	0	0	0
ENSG00000220157	0	0	0	0	0	0	0	0	0	1	0
ENSG00000206774	0	0	0	0	0	0	0	0	0	0	0
ENSG00000039319	367	165	260	184	337	304	269	227	414	376	456
ENSG00000249042	26	13	35	13	53	31	56	26	60	47	91
ENSG00000152380	10	6	11	4	13	12	13	13	28	19	15
ENSG00000242706	4	1	0	2	1	2	1	0	3	0	2
ENSG00000240003	7	0	2	2	5	0	1	6	1	1	2
ENSG00000189127	2	0	0	0	0	0	0	0	0	0	0
ENSG00000251366	0	0	0	0	0	0	0	0	0	0	0
ENSG00000251221	0	0	0	0	0	0	3	0	1	0	0
ENSG00000228716	61	68	87	76	60	92	63	73	67	101	100
ENSG00000249655	3	2	1	2	1	7	3	1	3	1	3
ENSG00000271043	0	0	0	0	0	0	0	0	0	0	0
ENSG00000113318	100	98	115	91	108	133	105	118	167	164	120
ENSG00000248967	0	0	0	0	0	0	0	2	1	2	3
ENSG00000244630	0	0	0	0	2	1	0	0	0	3	1
ENSG00000251450	0	0	0	0	0	0	0	0	0	0	1
ENSG00000113319	2	2	0	2	1	5	0	1	1	0	0
ENSG00000251001	0	0	0	0	0	0	0	0	0	0	0
ENSG00000249772	0	0	0	0	0	0	0	0	0	0	0
ENSG00000247572	21	7	23	15	15	21	17	8	26	14	23
ENSG00000131730	8	2	15	5	15	17	16	8	13	17	9
ENSG00000248794	0	0	0	0	0	2	1	0	2	0	0
ENSG00000131732	15	9	29	26	38	25	21	17	27	33	55
ENSG00000172497	0	1	0	0	0	0	0	0	2	0	0
ENSG00000286721	0	0	0	0	2	2	1	0	2	1	5
ENSG00000145687	41	24	33	17	32	39	33	26	34	16	36
ENSG00000287938	0	0	0	0	0	0	0	0	0	0	0
ENSG00000249483	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214857	0	0	0	0	0	0	0	0	0	0	0
ENSG00000152348	68	45	239	76	90	134	123	112	150	171	294
ENSG00000236447	1	1	0	3	0	1	1	0	2	4	2
ENSG00000251495	1	0	2	0	1	2	4	0	3	2	2
ENSG00000248192	0	0	0	2	4	0	0	2	3	1	1
ENSG00000265684	0	0	0	0	1	3	0	0	0	3	1
ENSG00000251374	0	0	0	0	1	0	0	0	1	0	0
ENSG00000186468	86	80	291	102	149	180	148	110	152	197	339
ENSG00000205464	4	1	2	3	2	4	4	2	10	3	4
ENSG00000248393	0	0	0	0	0	0	0	0	0	0	0
ENSG00000248870	0	0	0	0	0	0	0	0	0	0	0
ENSG00000249100	0	0	0	0	0	0	0	0	0	0	0
ENSG00000240411	0	0	0	0	0	0	0	0	0	0	0
ENSG00000248105	0	0	0	0	0	0	0	0	0	0	0
ENSG00000283359	0	0	0	0	0	0	0	0	0	0	0
ENSG00000281327	0	0	0	0	0	0	0	0	0	0	0
ENSG00000248112	0	0	0	0	0	0	0	0	0	0	0
ENSG00000249857	0	0	0	0	0	0	0	0	0	0	0
ENSG00000248400	0	0	0	0	0	0	0	0	0	0	0
ENSG00000249664	0	0	0	0	0	0	0	0	0	1	2
ENSG00000271862	1	7	7	6	1	1	10	0	6	6	7
ENSG00000174695	35	12	74	22	68	51	62	24	79	91	129
ENSG00000238835	0	0	0	0	1	0	1	0	0	2	0
ENSG00000152422	11	22	14	12	19	23	29	15	32	31	24
ENSG00000243385	0	0	1	0	0	2	2	0	1	0	1
ENSG00000251552	0	0	1	0	0	1	0	2	1	1	1
ENSG00000251395	0	0	0	0	0	0	0	0	0	0	0
ENSG00000038427	1	11	3	0	2	0	0	1	0	0	6
ENSG00000249835	0	2	0	0	0	1	0	0	0	0	0
ENSG00000145681	0	0	0	0	0	0	0	0	0	0	0
ENSG00000253073	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206744	0	0	0	0	0	0	0	0	0	0	0
ENSG00000242858	0	0	0	0	0	0	0	0	0	0	0
ENSG00000202157	0	0	0	0	0	0	0	0	0	0	0
ENSG00000250013	0	0	0	0	0	0	0	0	0	0	0
ENSG00000164176	0	1	0	0	0	0	0	0	0	0	1
ENSG00000252861	0	0	0	0	0	0	0	0	0	0	0
ENSG00000250320	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214853	0	0	0	0	0	0	0	0	0	0	0
ENSG00000249349	0	0	0	0	0	0	0	0	0	0	0
ENSG00000248674	0	0	0	0	0	0	0	0	0	0	0
ENSG00000250253	0	0	0	0	0	0	0	0	0	0	0
ENSG00000249792	0	0	0	0	0	0	0	0	0	0	0
ENSG00000248170	0	0	0	0	0	0	0	0	0	0	0
ENSG00000248667	0	0	0	0	0	0	0	0	0	1	0
ENSG00000249023	0	0	0	0	0	0	0	0	0	0	0
ENSG00000249842	0	0	0	0	0	0	0	0	0	0	0
ENSG00000243859	0	0	0	0	0	0	0	0	0	0	0
ENSG00000251066	0	0	0	0	0	1	0	0	0	0	0
ENSG00000250874	0	0	0	0	0	0	0	0	0	0	0
ENSG00000241965	0	0	0	0	0	0	0	0	0	0	0
ENSG00000249153	0	0	0	0	0	0	0	0	0	0	0
ENSG00000250359	0	0	0	0	0	0	0	0	0	0	0
ENSG00000205449	0	0	0	0	0	0	0	0	0	0	0
ENSG00000280009	0	0	0	0	0	0	0	0	0	0	0
